timestamp,accX,accY,accZ,temp,device_id
2026-08-05T10:17:08.982616,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.041979,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.043870,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.162001,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.163839,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.223194,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.282523,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.342714,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.762993,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.822740,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.882048,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.883969,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:09.943095,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.002461,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.061692,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.063808,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.123024,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.182478,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.241944,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.243912,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.303288,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.723554,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.783126,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.842416,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.901786,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.903660,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:10.963209,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.022392,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.081822,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.083798,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.143104,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.202451,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.261786,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.263936,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.743189,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.802391,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.861670,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.863791,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.923185,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:11.982363,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.041791,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.043810,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.103023,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.162532,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.221657,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.223652,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.283364,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.822353,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.881776,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.883884,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:12.943123,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.002359,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.061802,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.064070,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.123122,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.182318,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.243125,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.302253,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.361695,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.363902,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.723274,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.783174,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.842360,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.901862,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.903864,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:13.963126,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.022392,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.081818,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.083680,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.143113,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.202349,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.261633,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.263641,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.742995,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.802376,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.921697,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.923615,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:14.982989,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.042359,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.101781,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.103777,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.162991,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.222441,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.281880,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.283743,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.402676,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.762958,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.822985,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.882359,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.941770,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:15.943634,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.003012,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.062316,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.121895,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.123779,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.182984,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.242496,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.301761,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.303567,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.723104,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.782989,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.842326,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.901767,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.903471,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:16.962976,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.022367,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.081777,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.083511,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.142971,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.202353,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.261797,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.263612,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.742967,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.802351,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.861628,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.863503,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.923086,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:17.982369,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.041636,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.043550,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.103055,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.162309,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.221577,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.223838,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
2026-08-05T10:17:18.283374,0.0154,-0.0745,1.1526,0.0,EngineIQ_Sensor
